iter	Passed	Remaining
0	147	147777
1	148	74272
2	149	49694
3	150	37395
4	150	30017
5	151	25099
6	152	21591
7	152	18951
8	153	16900
9	154	15258
10	154	13914
11	155	12793
12	156	11844
13	156	11030
14	157	10357
15	159	9779
16	160	9266
17	160	8782
18	161	8352
19	162	7961
20	163	7604
21	163	7280
22	164	6983
23	165	6711
24	165	6461
25	166	6229
26	166	6014
27	167	5816
28	168	5633
29	169	5466
30	169	5307
31	170	5157
32	171	5023
33	172	4894
34	173	4775
35	173	4658
36	174	4545
37	175	4442
38	176	4345
39	177	4252
40	178	4167
41	179	4093
42	180	4021
43	181	3942
44	182	3864
45	182	3790
46	183	3722
47	184	3654
48	185	3591
49	186	3536
50	187	3488
51	188	3436
52	189	3384
53	190	3331
54	190	3278
55	191	3227
56	192	3178
57	192	3131
58	194	3094
59	194	3050
60	195	3007
61	195	2965
62	196	2924
63	197	2884
64	198	2853
65	199	2825
66	200	2798
67	201	2765
68	202	2736
69	203	2703
70	204	2670
71	204	2639
72	205	2608
73	205	2577
74	206	2548
75	207	2519
76	207	2491
77	208	2463
78	209	2437
79	209	2411
80	210	2386
81	211	2362
82	211	2334
83	211	2311
84	212	2288
85	213	2267
86	214	2249
87	215	2235
88	217	2223
89	217	2203
90	218	2182
91	219	2163
92	219	2144
93	220	2125
94	221	2106
95	221	2088
96	222	2070
97	223	2053
98	223	2036
99	224	2019
100	225	2002
101	225	1986
102	226	1970
103	226	1954
104	227	1939
105	228	1924
106	229	1911
107	230	1900
108	231	1890
109	232	1880
110	233	1867
111	233	1853
112	234	1839
113	235	1828
114	235	1814
115	236	1803
116	237	1789
117	237	1777
118	238	1764
119	239	1752
120	239	1740
121	240	1728
122	240	1717
123	241	1705
124	242	1694
125	242	1683
126	243	1672
127	244	1663
128	246	1665
129	247	1657
130	248	1647
131	248	1636
132	249	1626
133	250	1616
134	250	1606
135	251	1596
136	251	1587
137	252	1577
138	253	1568
139	253	1559
140	254	1550
141	254	1540
142	255	1531
143	256	1522
144	256	1514
145	257	1505
146	258	1498
147	259	1491
148	259	1484
149	260	1477
150	261	1470
151	262	1463
152	263	1456
153	264	1450
154	265	1446
155	266	1440
156	267	1436
157	268	1429
158	268	1422
159	269	1415
160	269	1406
161	270	1399
162	271	1393
163	271	1386
164	272	1379
165	273	1374
166	274	1371
167	275	1366
168	276	1361
169	277	1355
170	278	1349
171	278	1342
172	279	1336
173	280	1330
174	281	1324
175	281	1318
176	282	1312
177	282	1306
178	283	1301
179	284	1295
180	284	1289
181	285	1283
182	286	1277
183	286	1272
184	287	1266
185	288	1262
186	290	1261
187	290	1256
188	291	1252
189	292	1247
190	293	1242
191	293	1236
192	294	1231
193	295	1226
194	295	1220
195	296	1215
196	296	1210
197	297	1205
198	298	1200
199	298	1195
200	299	1190
201	300	1185
202	300	1180
203	301	1175
204	302	1171
205	302	1167
206	303	1163
207	304	1161
208	305	1157
209	306	1153
210	307	1149
211	308	1144
212	308	1140
213	309	1135
214	309	1131
215	310	1127
216	311	1123
217	311	1118
218	312	1115
219	313	1110
220	314	1107
221	314	1103
222	315	1098
